,C,GS,IBM,HNZ
2010-01-04 16:00:00,33.939999999999998,167.43000000000001,126.23999999999999,39.07
2010-01-05 16:00:00,35.240000000000002,170.38999999999999,124.70999999999999,38.869999999999997
2010-01-06 16:00:00,36.329999999999998,168.56999999999999,123.90000000000001,38.880000000000003
2010-01-07 16:00:00,36.43,171.87,123.47,38.82
2010-01-08 16:00:00,35.829999999999998,168.62,124.70999999999999,38.670000000000002
2010-01-11 16:00:00,36.229999999999997,165.96000000000001,123.41,38.670000000000002
2010-01-12 16:00:00,35.140000000000001,162.34,124.39,38.719999999999999
2010-01-13 16:00:00,34.939999999999998,163.55000000000001,124.12,39.189999999999998
2010-01-14 16:00:00,35.039999999999999,163.03,126.09999999999999,39.219999999999999
2010-01-15 16:00:00,34.140000000000001,159.81999999999999,125.59999999999999,38.880000000000003
2010-01-19 16:00:00,35.329999999999998,161.41,127.84999999999999,39.299999999999997
2010-01-20 16:00:00,34.539999999999999,162.31,124.14,38.789999999999999
2010-01-21 16:00:00,32.640000000000001,155.62,122.95,38.369999999999997
2010-01-22 16:00:00,32.439999999999998,149.09,119.61,38.25
2010-01-25 16:00:00,32.240000000000002,149.91999999999999,120.2,38.770000000000003
2010-01-26 16:00:00,31.440000000000001,145.94999999999999,119.84999999999999,39.060000000000002
2010-01-27 16:00:00,31.940000000000001,146.55000000000001,120.40000000000001,39.700000000000003
2010-01-28 16:00:00,32.340000000000003,148.28999999999999,117.94,40.399999999999999
2010-01-29 16:00:00,33.140000000000001,143.86000000000001,116.65000000000001,39.789999999999999
2010-02-01 16:00:00,33.340000000000003,148.13,118.81999999999999,40.060000000000002
2010-02-02 16:00:00,34.039999999999999,151.81999999999999,119.64,40.490000000000002
2010-02-03 16:00:00,33.640000000000001,152.09999999999999,119.76000000000001,40.140000000000001
2010-02-04 16:00:00,31.739999999999998,145.75999999999999,117.23,39.079999999999998
2010-02-05 16:00:00,32.140000000000001,149.13,117.73,39.43
2010-02-08 16:00:00,31.440000000000001,146.16999999999999,116.68000000000001,39.359999999999999
2010-02-09 16:00:00,31.739999999999998,147.50999999999999,117.95,39.82
2010-02-10 16:00:00,31.940000000000001,148.61000000000001,117.56999999999999,39.850000000000001
2010-02-11 16:00:00,32.039999999999999,149.02000000000001,118.45,40.07
2010-02-12 16:00:00,31.739999999999998,148.90000000000001,118.70999999999999,39.890000000000001
2010-02-16 16:00:00,33.039999999999999,152.25999999999999,119.89,40.600000000000001
2010-02-17 16:00:00,34.039999999999999,152.13,120.94,41.049999999999997
2010-02-18 16:00:00,34.240000000000002,150.65000000000001,122.36,41.689999999999998
2010-02-19 16:00:00,34.140000000000001,151.08000000000001,121.77,41.939999999999998
2010-02-22 16:00:00,34.539999999999999,151.59,121.44,41.880000000000003
2010-02-23 16:00:00,33.439999999999998,151.58000000000001,121.06999999999999,41.609999999999999
2010-02-24 16:00:00,34.439999999999998,153.16,122.15000000000001,41.880000000000003
2010-02-25 16:00:00,33.840000000000003,151.33000000000001,121.65000000000001,41.640000000000001
2010-02-26 16:00:00,33.939999999999998,151.58000000000001,121.73999999999999,41.859999999999999
2010-03-01 16:00:00,33.840000000000003,151.77000000000001,123.09,41.93
2010-03-02 16:00:00,33.939999999999998,153.91,121.98999999999999,42.189999999999998
2010-03-03 16:00:00,33.939999999999998,152.91,121.47,42.109999999999999
2010-03-04 16:00:00,34.240000000000002,158.62,121.31999999999999,42.090000000000003
2010-03-05 16:00:00,34.939999999999998,162.08000000000001,121.81999999999999,42.310000000000002
2010-03-08 16:00:00,35.530000000000001,164.66,121.02,42.130000000000003
2010-03-09 16:00:00,38.130000000000003,163.69999999999999,120.2,42.200000000000003
2010-03-10 16:00:00,39.530000000000001,166.69999999999999,120.26000000000001,42.280000000000001
2010-03-11 16:00:00,41.719999999999999,168.22,122.16,42.289999999999999
2010-03-12 16:00:00,39.630000000000003,169.63,122.48,42.32
2010-03-15 16:00:00,38.829999999999998,168.24000000000001,122.38,42.630000000000003
2010-03-16 16:00:00,40.43,170.81999999999999,123.18000000000001,43.149999999999999
2010-03-17 16:00:00,40.43,171.25999999999999,122.31,43.380000000000003
2010-03-18 16:00:00,40.130000000000003,172.03999999999999,122.90000000000001,43.32
2010-03-19 16:00:00,38.93,172.47999999999999,122.26000000000001,43.189999999999998
2010-03-22 16:00:00,40.329999999999998,170.78999999999999,122.52,43.130000000000003
2010-03-23 16:00:00,41.219999999999999,169.5,123.84999999999999,43.109999999999999
2010-03-24 16:00:00,41.420000000000002,169.09,123.05,43.439999999999998
2010-03-25 16:00:00,42.619999999999997,169.56999999999999,123.73,42.729999999999997
2010-03-26 16:00:00,43.020000000000003,167.59999999999999,123.75,41.93
2010-03-29 16:00:00,41.719999999999999,168.75,123.11,41.990000000000002
2010-03-30 16:00:00,40.82,166.16,123.28,42.090000000000003
2010-03-31 16:00:00,40.43,165.43000000000001,122.78,41.960000000000001
2010-04-01 16:00:00,41.719999999999999,165.03,122.78,42.189999999999998
2010-04-05 16:00:00,42.520000000000003,167.88,123.83,42.090000000000003
2010-04-06 16:00:00,42.82,167.63,123.43000000000001,42.189999999999998
2010-04-07 16:00:00,43.520000000000003,170.97999999999999,123.0,42.18
2010-04-08 16:00:00,44.619999999999997,174.03,122.17,41.939999999999998
2010-04-09 16:00:00,45.420000000000002,173.66,123.27,42.200000000000003
2010-04-12 16:00:00,46.310000000000002,172.41999999999999,122.89,42.310000000000002
2010-04-13 16:00:00,46.119999999999997,173.78999999999999,123.53,42.340000000000003
