,price,mid,std,lower,upper,bollinger,buy_sig,sell_sig
2010-02-05 16:00:00,531.28999999999996,560.16750000000013,27.785019794843503,532.38248020515664,587.95251979484362,-1.0393190364168614,,
2010-02-08 16:00:00,533.47000000000003,556.74000000000001,26.551151030652353,530.18884896934765,583.29115103065237,-0.87642151457522877,,
2010-02-09 16:00:00,536.44000000000005,553.50650000000007,24.739262907582383,528.76723709241764,578.2457629075825,-0.68985482969944412,,
2010-02-10 16:00:00,534.45000000000005,550.70500000000015,23.471969733232559,527.23303026676763,574.17696973323268,-0.69252815953429026,,
2010-02-11 16:00:00,536.39999999999998,548.17050000000006,22.028719167435995,526.14178083256411,570.19921916743601,-0.53432521021920565,,
2010-02-12 16:00:00,533.12,545.33400000000006,19.932051786529211,525.40194821347086,565.26605178652926,-0.61278187167137055,,
2010-02-16 16:00:00,541.29999999999995,543.39900000000011,18.192109596714388,525.20689040328568,561.59110959671455,-0.11537969188462084,,
2010-02-17 16:00:00,538.21000000000004,540.92849999999999,14.934005094344968,525.99449490565507,555.8625050943449,-0.18203422208750675,,
2010-02-18 16:00:00,543.22000000000003,539.06899999999996,11.731139353292123,527.33786064670778,550.80013935329214,0.35384457340327879,,
2010-02-19 16:00:00,540.75999999999999,536.95799999999997,5.621060585451394,531.33693941454862,542.57906058545132,0.67638481069577461,,
2010-02-22 16:00:00,542.79999999999995,536.59749999999997,4.9284628488701605,531.66903715112983,541.52596284887011,1.2585059865921271,,1.0
2010-02-23 16:00:00,535.07000000000005,536.35099999999989,4.8722964433278886,531.47870355667203,541.22329644332774,-0.26291503706717884,,
2010-02-24 16:00:00,531.47000000000003,535.80349999999987,4.7685507839476404,531.03494921605227,540.57205078394747,-0.90876666650750448,,
2010-02-25 16:00:00,526.42999999999995,535.01999999999987,4.9629235866079959,530.05707641339188,539.98292358660785,-1.7308346280364386,1.0,
2010-02-26 16:00:00,526.79999999999995,534.64549999999986,5.2925573114519437,529.35294268854796,539.93805731145176,-1.4823646752060569,,
2010-03-01 16:00:00,532.69000000000005,534.78299999999979,5.1987661491876915,529.5842338508121,539.98176614918748,-0.40259552746506311,,
2010-03-02 16:00:00,541.05999999999995,535.18499999999972,5.3635058252247196,529.82149417477501,540.54850582522442,1.0953656416983713,,1.0
2010-03-03 16:00:00,545.32000000000005,535.89499999999975,5.7247785524059092,530.1702214475938,541.61977855240571,1.6463518918193478,,
2010-03-04 16:00:00,554.59000000000003,536.58349999999973,7.0279721377344346,529.55552786226531,543.61147213773415,2.5621188654576752,,
2010-03-05 16:00:00,564.21000000000004,538.4549999999997,8.9898190954434849,529.46518090455618,547.44481909544322,2.864907483294556,,
2010-03-08 16:00:00,562.48000000000002,540.01449999999966,10.292415948313755,529.7220840516859,550.30691594831342,2.1827236785626574,,
2010-03-09 16:00:00,560.19000000000005,541.35049999999978,11.100652173841004,530.24984782615877,552.4511521738408,1.6971525370730989,,
2010-03-10 16:00:00,576.45000000000005,543.35099999999977,13.512347141172674,529.83865285882712,556.86334714117243,2.449537423379708,,
2010-03-11 16:00:00,581.13999999999999,545.68549999999971,15.74278430367545,529.94271569632429,561.42828430367513,2.2521111460393164,,
2010-03-12 16:00:00,579.53999999999996,547.84249999999975,17.283584507314139,530.55891549268563,565.12608450731386,1.833965632915229,,
2010-03-15 16:00:00,563.17999999999995,549.34549999999967,17.24289372315015,532.10260627684954,566.58839372314981,0.80233052654185322,,
